,x,y,z,r_dist,r,uni,passes,residence_time,burnup
142,-8.4878,21.2195,32.0,39.32314749724391,2,u_fuel_pebble,3,88.0,26.4
143,-2.82927,21.2195,32.0,38.50028505067073,2,u_fuel_pebble,2,48.0,14.399999999999999
144,2.82927,21.2195,32.0,38.50028505067073,2,u_fuel_pebble,4,128.0,38.4
145,8.4878,21.2195,32.0,39.32314749724391,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
146,14.1463,21.2195,32.0,40.91924955250279,2,u_fuel_pebble,4,128.0,38.4
147,-11.3171,24.0488,32.0,41.59833571009783,2,u_fuel_pebble,4,128.0,38.4
148,-5.65854,24.0488,32.0,40.427266249050284,2,u_fuel_pebble,2,48.0,14.399999999999999
149,0.0,24.0488,32.0,40.02929903757996,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
150,5.65854,24.0488,32.0,40.427266249050284,2,u_fuel_pebble,3,88.0,26.4
151,11.3171,24.0488,32.0,41.59833571009783,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
152,-2.82927,26.878,32.0,41.88593621650231,2,u_fuel_pebble,4,128.0,38.4
153,2.82927,26.878,32.0,41.88593621650231,2,u_fuel_pebble,5,168.0,50.4
154,-2.82927,-26.878,34.8293,44.0852786224937,2,u_fuel_pebble,4,128.0,38.4
155,2.82927,-26.878,34.8293,44.0852786224937,2,u_fuel_pebble,4,128.0,38.4
156,-11.3171,-24.0488,34.8293,43.81211787097264,2,u_fuel_pebble,2,48.0,14.399999999999999
157,-5.65854,-24.0488,34.8293,42.70180318044661,2,u_fuel_pebble,4,128.0,38.4
158,0.0,-24.0488,34.8293,42.32522793712989,2,u_fuel_pebble,5,168.0,50.4
159,5.65854,-24.0488,34.8293,42.70180318044661,2,u_fuel_pebble,5,168.0,50.4
160,11.3171,-24.0488,34.8293,43.81211787097264,2,u_fuel_pebble,5,168.0,50.4
161,-14.1463,-21.2195,34.8293,43.16787141416635,2,u_fuel_pebble,4,128.0,38.4
162,-8.4878,-21.2195,34.8293,41.65801324571301,2,u_fuel_pebble,3,88.0,26.4
163,-2.82927,-21.2195,34.8293,40.882173223458906,2,u_fuel_pebble,3,88.0,26.4
164,2.82927,-21.2195,34.8293,40.882173223458906,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
165,8.4878,-21.2195,34.8293,41.65801324571301,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
166,14.1463,-21.2195,34.8293,43.16787141416635,2,u_fuel_pebble,2,48.0,14.399999999999999
167,-16.9756,-18.3902,34.8293,42.88881660631359,2,u_fuel_pebble,5,168.0,50.4
168,-11.3171,-18.3902,34.8293,40.97995054828642,2,u_fuel_pebble,4,128.0,38.4
169,-5.65854,-18.3902,34.8293,39.7906857123825,2,u_fuel_pebble,3,88.0,26.4
170,0.0,-18.3902,34.8293,39.386286884269765,2,u_fuel_pebble,4,128.0,38.4
171,5.65854,-18.3902,34.8293,39.7906857123825,2,u_fuel_pebble,2,48.0,14.399999999999999
172,11.3171,-18.3902,34.8293,40.97995054828642,2,u_fuel_pebble,3,88.0,26.4
173,16.9756,-18.3902,34.8293,42.88881660631359,2,u_fuel_pebble,2,48.0,14.399999999999999
174,-19.8049,-15.561,34.8293,42.98207677044003,2,u_fuel_pebble,5,168.0,50.4
175,-14.1463,-15.561,34.8293,40.685902511557984,2,u_fuel_pebble,5,168.0,50.4
176,-8.4878,-15.561,34.8293,39.0802713441194,2,u_fuel_pebble,3,88.0,26.4
177,-2.82927,-15.561,34.8293,38.252184620265815,2,u_fuel_pebble,4,128.0,38.4
178,2.82927,-15.561,34.8293,38.252184620265815,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
